commit_message,sha,type,commit_url,annotated_type,masked_commit_message,git_diff,human_label
chore(zb-db): throw exception on run,f0a257e399c373e933d79e0fdbd30463ddd1e11d,chore,https://github.com/camunda/zeebe/commit/f0a257e399c373e933d79e0fdbd30463ddd1e11d,refactor,throw exception on run,"diff --git a/zb-db/src/main/java/io/zeebe/db/ZeebeDbTransaction.java b/zb-db/src/main/java/io/zeebe/db/ZeebeDbTransaction.java
index 7874f67..ff6f969 100644
--- a/zb-db/src/main/java/io/zeebe/db/ZeebeDbTransaction.java
+++ b/zb-db/src/main/java/io/zeebe/db/ZeebeDbTransaction.java
@@ -29,7 +29,7 @@ public interface ZeebeDbTransaction {
    * @throws ZeebeDbException is thrown on an unexpected error in the database layer
    * @throws RuntimeException is thrown on an unexpected error in executing the operations
    */
-  void run(TransactionOperation operations);
+  void run(TransactionOperation operations) throws Exception;
 
   /**
    * Commits the transaction and writes the data into the database.
diff --git a/zb-db/src/main/java/io/zeebe/db/impl/rocksdb/transaction/ZeebeTransaction.java b/zb-db/src/main/java/io/zeebe/db/impl/rocksdb/transaction/ZeebeTransaction.java
index e0decca..8c27282 100644
--- a/zb-db/src/main/java/io/zeebe/db/impl/rocksdb/transaction/ZeebeTransaction.java
+++ b/zb-db/src/main/java/io/zeebe/db/impl/rocksdb/transaction/ZeebeTransaction.java
@@ -72,12 +72,15 @@ public class ZeebeTransaction implements ZeebeDbTransaction, AutoCloseable {
   }
 
   @Override
-  public void run(TransactionOperation operations) {
+  public void run(TransactionOperation operations) throws Exception {
     try {
       operations.run();
-    } catch (Exception ex) {
-      throw new RuntimeException(
-          ""Unexpected error occurred during zeebe db transaction operation."", ex);
+    } catch (RocksDBException rdbex) {
+      final String errorMessage = ""Unexpected error occurred during RocksDB transaction commit."";
+      if (isRocksDbExceptionRecoverable(rdbex)) {
+        throw new ZeebeDbException(errorMessage, rdbex);
+      }
+      throw rdbex;
     }
   }
 
diff --git a/zb-db/src/test/java/io/zeebe/db/impl/DbTransactionTest.java b/zb-db/src/test/java/io/zeebe/db/impl/DbTransactionTest.java
index 0134386..c8541cb 100644
--- a/zb-db/src/test/java/io/zeebe/db/impl/DbTransactionTest.java
+++ b/zb-db/src/test/java/io/zeebe/db/impl/DbTransactionTest.java
@@ -105,7 +105,7 @@ public class DbTransactionTest {
   }
 
   @Test
-  public void shouldStartNewTransaction() {
+  public void shouldStartNewTransaction() throws Exception {
     // given
     oneKey.wrapLong(1);
     oneValue.wrapLong(-1);
@@ -134,7 +134,7 @@ public class DbTransactionTest {
   }
 
   @Test
-  public void shouldAccessOnOpenTransaction() {
+  public void shouldAccessOnOpenTransaction() throws Exception {
     // given
     oneKey.wrapLong(1);
     oneValue.wrapLong(-1);
@@ -164,7 +164,7 @@ public class DbTransactionTest {
   }
 
   @Test
-  public void shouldNotReopenTransaction() {
+  public void shouldNotReopenTransaction() throws Exception {
     // given
     final ZeebeDbTransaction transaction = dbContext.getCurrentTransaction();
 
@@ -219,7 +219,7 @@ public class DbTransactionTest {
   }
 
   @Test
-  public void shouldRollbackTransaction() {
+  public void shouldRollbackTransaction() throws Exception {
     // given
     oneKey.wrapLong(1);
     oneValue.wrapLong(-1);
",0
style: dedup redundant imports,8d53d724275ebe4b2a0bb0bd7e2c2dfc399e049b,style,https://github.com/ibis-project/ibis/commit/8d53d724275ebe4b2a0bb0bd7e2c2dfc399e049b,refactor,dedup redundant imports,"diff --git a/ibis/backends/base/__init__.py b/ibis/backends/base/__init__.py
index effd44c..a59c0ec 100644
--- a/ibis/backends/base/__init__.py
+++ b/ibis/backends/base/__init__.py
@@ -31,7 +31,7 @@ import ibis.common.exceptions as exc
 import ibis.config
 import ibis.expr.operations as ops
 import ibis.expr.types as ir
-import ibis.util as util
+from ibis import util
 
 __all__ = ('BaseBackend', 'Database', 'connect')
 
diff --git a/ibis/backends/base/sql/__init__.py b/ibis/backends/base/sql/__init__.py
index e4f2129..7bbdaf9 100644
--- a/ibis/backends/base/sql/__init__.py
+++ b/ibis/backends/base/sql/__init__.py
@@ -12,7 +12,7 @@ import ibis.expr.analysis as an
 import ibis.expr.operations as ops
 import ibis.expr.schema as sch
 import ibis.expr.types as ir
-import ibis.util as util
+from ibis import util
 from ibis.backends.base import BaseBackend
 from ibis.backends.base.sql.compiler import Compiler
 
diff --git a/ibis/backends/base/sql/alchemy/__init__.py b/ibis/backends/base/sql/alchemy/__init__.py
index 71cc0e8..ab89d7d 100644
--- a/ibis/backends/base/sql/alchemy/__init__.py
+++ b/ibis/backends/base/sql/alchemy/__init__.py
@@ -11,7 +11,7 @@ import ibis
 import ibis.expr.operations as ops
 import ibis.expr.schema as sch
 import ibis.expr.types as ir
-import ibis.util as util
+from ibis import util
 from ibis.backends.base.sql import BaseSQLBackend
 from ibis.backends.base.sql.alchemy.database import AlchemyDatabase, AlchemyTable
 from ibis.backends.base.sql.alchemy.datatypes import (
diff --git a/ibis/backends/base/sql/alchemy/query_builder.py b/ibis/backends/base/sql/alchemy/query_builder.py
index 54c74ba..0ec432f 100644
--- a/ibis/backends/base/sql/alchemy/query_builder.py
+++ b/ibis/backends/base/sql/alchemy/query_builder.py
@@ -3,7 +3,7 @@ from __future__ import annotations
 import functools
 
 import sqlalchemy as sa
-import sqlalchemy.sql as sql
+from sqlalchemy import sql
 
 import ibis.expr.operations as ops
 import ibis.expr.schema as sch
diff --git a/ibis/backends/base/sql/compiler/base.py b/ibis/backends/base/sql/compiler/base.py
index 84102aa..fb44667 100644
--- a/ibis/backends/base/sql/compiler/base.py
+++ b/ibis/backends/base/sql/compiler/base.py
@@ -7,7 +7,7 @@ import toolz
 
 import ibis.expr.analysis as an
 import ibis.expr.operations as ops
-import ibis.util as util
+from ibis import util
 
 
 class DML(abc.ABC):
diff --git a/ibis/backends/base/sql/compiler/query_builder.py b/ibis/backends/base/sql/compiler/query_builder.py
index a2d5214..95f5e8d 100644
--- a/ibis/backends/base/sql/compiler/query_builder.py
+++ b/ibis/backends/base/sql/compiler/query_builder.py
